# source_id	kind	status	crystal_refs	notes
codespan-lsp/src/lib.rs::test::position	test	ported	spec/codespan/lsp_spec.cr	auto-generated
codespan-lsp/src/lib.rs::test::unicode_get_byte_index	test	ported	spec/codespan/lsp_spec.cr	auto-generated
codespan-lsp/src/lib.rs::test::unicode_get_position	test	ported	spec/codespan/lsp_spec.cr	auto-generated
codespan-reporting/examples/custom_files.rs::func::add	func	skipped	-	auto-generated
codespan-reporting/examples/custom_files.rs::method::Files.new	method	skipped	-	auto-generated
codespan-reporting/examples/custom_files.rs::struct::FileId	struct	skipped	-	auto-generated
codespan-reporting/examples/custom_files.rs::struct::Files	struct	skipped	-	auto-generated
codespan-reporting/examples/readme_preview.rs::enum::Opts	enum	skipped	-	auto-generated
codespan-reporting/examples/readme_preview.rs::func::into_string	func	skipped	-	auto-generated
codespan-reporting/examples/readme_preview.rs::func::line_count	func	skipped	-	auto-generated
codespan-reporting/examples/readme_preview.rs::method::SvgWriter.new	method	skipped	-	auto-generated
codespan-reporting/examples/readme_preview.rs::struct::SvgWriter	struct	skipped	-	auto-generated
codespan-reporting/examples/reusable_diagnostic.rs::struct::Opts	struct	skipped	-	auto-generated
codespan-reporting/examples/term.rs::struct::Opts	struct	skipped	-	auto-generated
codespan-reporting/src/diagnostic.rs::enum::LabelStyle	enum	ported	src/codespan/reporting/diagnostic.cr	auto-generated
codespan-reporting/src/diagnostic.rs::enum::Severity	enum	ported	src/codespan/reporting/diagnostic.cr	auto-generated
codespan-reporting/src/diagnostic.rs::func::bug	func	ported	src/codespan/reporting/diagnostic.cr	auto-generated
codespan-reporting/src/diagnostic.rs::func::error	func	ported	src/codespan/reporting/diagnostic.cr	auto-generated
codespan-reporting/src/diagnostic.rs::func::help	func	ported	src/codespan/reporting/diagnostic.cr	auto-generated
codespan-reporting/src/diagnostic.rs::func::note	func	ported	src/codespan/reporting/diagnostic.cr	auto-generated
codespan-reporting/src/diagnostic.rs::func::primary	func	ported	src/codespan/reporting/diagnostic.cr	auto-generated
codespan-reporting/src/diagnostic.rs::func::secondary	func	ported	src/codespan/reporting/diagnostic.cr	auto-generated
codespan-reporting/src/diagnostic.rs::func::warning	func	ported	src/codespan/reporting/diagnostic.cr	auto-generated
codespan-reporting/src/diagnostic.rs::func::with_code	func	ported	src/codespan/reporting/diagnostic.cr	auto-generated
codespan-reporting/src/diagnostic.rs::func::with_label	func	ported	src/codespan/reporting/diagnostic.cr	auto-generated
codespan-reporting/src/diagnostic.rs::func::with_labels	func	ported	src/codespan/reporting/diagnostic.cr	auto-generated
codespan-reporting/src/diagnostic.rs::func::with_labels_iter	func	ported	src/codespan/reporting/diagnostic.cr	auto-generated
codespan-reporting/src/diagnostic.rs::func::with_message	func	ported	src/codespan/reporting/diagnostic.cr	auto-generated
codespan-reporting/src/diagnostic.rs::func::with_note	func	ported	src/codespan/reporting/diagnostic.cr	auto-generated
codespan-reporting/src/diagnostic.rs::func::with_notes	func	ported	src/codespan/reporting/diagnostic.cr	auto-generated
codespan-reporting/src/diagnostic.rs::func::with_notes_iter	func	ported	src/codespan/reporting/diagnostic.cr	auto-generated
