# source_api_id	status	crystal_refs	notes
codespan-lsp/src/lib.rs::func::byte_index_to_position	missing	-	baseline
codespan-lsp/src/lib.rs::func::byte_span_to_range	missing	-	baseline
codespan-lsp/src/lib.rs::func::position_to_byte_index	missing	-	baseline
codespan-lsp/src/lib.rs::func::range_to_byte_span	missing	-	baseline
codespan-reporting/examples/custom_files.rs::func::add	missing	-	baseline
codespan-reporting/examples/custom_files.rs::method::Files.new	missing	-	baseline
codespan-reporting/examples/custom_files.rs::struct::FileId	missing	-	baseline
codespan-reporting/examples/custom_files.rs::struct::Files	missing	-	baseline
codespan-reporting/examples/readme_preview.rs::enum::Opts	missing	-	baseline
codespan-reporting/examples/readme_preview.rs::func::into_string	missing	-	baseline
codespan-reporting/examples/readme_preview.rs::func::line_count	missing	-	baseline
codespan-reporting/examples/readme_preview.rs::method::SvgWriter.new	missing	-	baseline
codespan-reporting/examples/readme_preview.rs::struct::SvgWriter	missing	-	baseline
codespan-reporting/examples/reusable_diagnostic.rs::struct::Opts	missing	-	baseline
codespan-reporting/examples/term.rs::struct::Opts	missing	-	baseline
codespan-reporting/src/diagnostic.rs::enum::LabelStyle	missing	-	baseline
codespan-reporting/src/diagnostic.rs::enum::Severity	missing	-	baseline
codespan-reporting/src/diagnostic.rs::func::bug	missing	-	baseline
codespan-reporting/src/diagnostic.rs::func::error	missing	-	baseline
codespan-reporting/src/diagnostic.rs::func::help	missing	-	baseline
codespan-reporting/src/diagnostic.rs::func::note	missing	-	baseline
codespan-reporting/src/diagnostic.rs::func::primary	missing	-	baseline
codespan-reporting/src/diagnostic.rs::func::secondary	missing	-	baseline
codespan-reporting/src/diagnostic.rs::func::warning	missing	-	baseline
codespan-reporting/src/diagnostic.rs::func::with_code	missing	-	baseline
codespan-reporting/src/diagnostic.rs::func::with_label	missing	-	baseline
codespan-reporting/src/diagnostic.rs::func::with_labels	missing	-	baseline
codespan-reporting/src/diagnostic.rs::func::with_labels_iter	missing	-	baseline
codespan-reporting/src/diagnostic.rs::func::with_message	missing	-	baseline
codespan-reporting/src/diagnostic.rs::func::with_note	missing	-	baseline
codespan-reporting/src/diagnostic.rs::func::with_notes	missing	-	baseline
codespan-reporting/src/diagnostic.rs::func::with_notes_iter	missing	-	baseline
codespan-reporting/src/diagnostic.rs::method::Diagnostic.new	missing	-	baseline
codespan-reporting/src/diagnostic.rs::method::Label.new	missing	-	baseline
codespan-reporting/src/diagnostic.rs::struct::Diagnostic	missing	-	baseline
codespan-reporting/src/diagnostic.rs::struct::Label	missing	-	baseline
codespan-reporting/src/files.rs::enum::Error	missing	-	baseline
codespan-reporting/src/files.rs::func::add	missing	-	baseline
codespan-reporting/src/files.rs::func::column_index	missing	-	baseline
codespan-reporting/src/files.rs::func::get	missing	-	baseline
codespan-reporting/src/files.rs::func::line_starts	missing	-	baseline
codespan-reporting/src/files.rs::func::name	missing	-	baseline
codespan-reporting/src/files.rs::func::source	missing	-	baseline
codespan-reporting/src/files.rs::method::SimpleFile.new	missing	-	baseline
codespan-reporting/src/files.rs::method::SimpleFiles.new	missing	-	baseline
codespan-reporting/src/files.rs::struct::Location	missing	-	baseline
codespan-reporting/src/files.rs::struct::SimpleFile	missing	-	baseline
codespan-reporting/src/files.rs::struct::SimpleFiles	missing	-	baseline
codespan-reporting/src/files.rs::trait::Files	missing	-	baseline
codespan-reporting/src/term/config.rs::enum::DisplayStyle	missing	-	baseline
codespan-reporting/src/term/config.rs::func::ascii	missing	-	baseline
codespan-reporting/src/term/config.rs::func::label	missing	-	baseline
codespan-reporting/src/term/config.rs::func::line_number	missing	-	baseline
codespan-reporting/src/term/config.rs::func::note_bullet	missing	-	baseline
codespan-reporting/src/term/config.rs::func::source_border	missing	-	baseline
codespan-reporting/src/term/config.rs::method::Chars.box_drawing	missing	-	baseline
codespan-reporting/src/term/config.rs::method::Styles.header	missing	-	baseline
codespan-reporting/src/term/config.rs::method::Styles.no_color	missing	-	baseline
codespan-reporting/src/term/config.rs::method::StylesWriter.new	missing	-	baseline
codespan-reporting/src/term/config.rs::struct::Chars	missing	-	baseline
codespan-reporting/src/term/config.rs::struct::Config	missing	-	baseline
codespan-reporting/src/term/config.rs::struct::Styles	missing	-	baseline
codespan-reporting/src/term/config.rs::struct::StylesWriter	missing	-	baseline
codespan-reporting/src/term/renderer.rs::enum::MultiLabel	missing	-	baseline
codespan-reporting/src/term/renderer.rs::func::render_empty	missing	-	baseline
codespan-reporting/src/term/renderer.rs::func::render_header	missing	-	baseline
codespan-reporting/src/term/renderer.rs::func::render_snippet_break	missing	-	baseline
codespan-reporting/src/term/renderer.rs::func::render_snippet_empty	missing	-	baseline
codespan-reporting/src/term/renderer.rs::func::render_snippet_note	missing	-	baseline
